Number of clusters,ari,sil,dbs,dataset,clusteringAlg,affinity,linkage
10,0.198,0.963,0.25,adult,ms,None,None
2,0.026,0.987,0.011,adult,agg,euclidean,ward
3,0.149,0.917,0.358,adult,agg,euclidean,ward
4,0.15,0.93,0.301,adult,agg,euclidean,ward
5,0.152,0.929,0.285,adult,agg,euclidean,ward
6,0.198,0.962,0.275,adult,agg,euclidean,ward
7,0.198,0.964,0.227,adult,agg,euclidean,ward
8,0.198,0.966,0.233,adult,agg,euclidean,ward
9,0.198,0.967,0.223,adult,agg,euclidean,ward
2,0.026,0.987,0.011,adult,agg,euclidean,complete
3,0.087,0.935,0.107,adult,agg,euclidean,complete
4,0.087,0.931,0.068,adult,agg,euclidean,complete
5,0.164,0.927,0.111,adult,agg,euclidean,complete
6,0.164,0.927,0.116,adult,agg,euclidean,complete
7,0.152,0.931,0.215,adult,agg,euclidean,complete
8,0.152,0.931,0.201,adult,agg,euclidean,complete
9,0.152,0.922,0.227,adult,agg,euclidean,complete
2,0.026,0.987,0.011,adult,agg,euclidean,average
3,0.03,0.944,0.052,adult,agg,euclidean,average
4,0.165,0.937,0.25,adult,agg,euclidean,average
5,0.164,0.927,0.111,adult,agg,euclidean,average
6,0.164,0.927,0.116,adult,agg,euclidean,average
7,0.151,0.93,0.217,adult,agg,euclidean,average
8,0.151,0.93,0.203,adult,agg,euclidean,average
9,0.151,0.93,0.17,adult,agg,euclidean,average
2,0.026,0.987,0.011,adult,agg,euclidean,single
3,0.03,0.944,0.052,adult,agg,euclidean,single
4,0.031,0.92,0.081,adult,agg,euclidean,single
5,0.031,0.92,0.04,adult,agg,euclidean,single
6,0.087,0.93,0.043,adult,agg,euclidean,single
7,0.094,0.904,0.073,adult,agg,euclidean,single
8,0.094,0.902,0.055,adult,agg,euclidean,single
9,0.094,0.899,0.105,adult,agg,euclidean,single
2,0.142,0.872,0.969,adult,agg,cosine,single
3,0.187,0.873,0.96,adult,agg,cosine,single
4,0.187,-0.119,1.17,adult,agg,cosine,single
5,0.186,-0.134,1.2,adult,agg,cosine,single
6,0.186,-0.135,1.16,adult,agg,cosine,single
7,0.187,-0.143,1.155,adult,agg,cosine,single
8,0.186,-0.146,1.149,adult,agg,cosine,single
9,0.186,-0.152,1.238,adult,agg,cosine,single
2,0.142,0.872,0.969,adult,agg,cosine,average
3,0.187,0.873,0.96,adult,agg,cosine,average
4,0.06,0.285,1.072,adult,agg,cosine,average
5,0.06,0.008,1.305,adult,agg,cosine,average
6,0.058,0.001,1.626,adult,agg,cosine,average
7,0.058,-0.003,1.654,adult,agg,cosine,average
8,0.073,0.074,1.688,adult,agg,cosine,average
9,0.053,0.072,1.764,adult,agg,cosine,average
2,0.028,-0.303,1.792,adult,agg,cosine,complete
3,0.005,-0.18,1.839,adult,agg,cosine,complete
4,-0.001,-0.27,2.678,adult,agg,cosine,complete
5,0.0,-0.122,2.387,adult,agg,cosine,complete
6,0.006,-0.089,2.292,adult,agg,cosine,complete
7,-0.004,-0.1,2.195,adult,agg,cosine,complete
8,0.002,-0.065,2.271,adult,agg,cosine,complete
9,0.008,-0.07,2.303,adult,agg,cosine,complete
