Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.016,0.163,2.038,341.395,cmc,agg,euclidean,ward
3,0.022,0.135,2.105,261.64,cmc,agg,euclidean,ward
4,0.011,0.097,2.327,219.256,cmc,agg,euclidean,ward
5,0.02,0.097,2.439,189.044,cmc,agg,euclidean,ward
6,0.021,0.067,2.47,166.901,cmc,agg,euclidean,ward
7,0.022,0.065,2.495,150.861,cmc,agg,euclidean,ward
8,0.025,0.066,2.521,140.039,cmc,agg,euclidean,ward
9,0.015,0.072,2.487,132.021,cmc,agg,euclidean,ward
2,-0.003,0.284,1.228,103.832,cmc,agg,euclidean,complete
3,0.011,0.148,2.042,179.612,cmc,agg,euclidean,complete
4,0.014,0.102,2.192,174.698,cmc,agg,euclidean,complete
5,0.016,0.054,2.752,153.121,cmc,agg,euclidean,complete
6,0.016,0.049,2.596,123.511,cmc,agg,euclidean,complete
7,0.018,0.048,3.012,108.702,cmc,agg,euclidean,complete
8,0.025,0.045,2.843,105.997,cmc,agg,euclidean,complete
9,0.023,0.05,2.85,103.558,cmc,agg,euclidean,complete
2,-0.003,0.288,1.233,96.08,cmc,agg,euclidean,average
3,-0.003,0.276,1.032,49.142,cmc,agg,euclidean,average
4,-0.009,0.137,1.787,96.571,cmc,agg,euclidean,average
5,-0.014,0.121,1.851,83.348,cmc,agg,euclidean,average
6,0.012,0.119,1.865,124.27,cmc,agg,euclidean,average
7,0.011,0.116,2.049,111.181,cmc,agg,euclidean,average
8,0.01,0.107,2.072,97.392,cmc,agg,euclidean,average
9,0.01,0.104,2.065,86.479,cmc,agg,euclidean,average
2,-0.0,0.192,0.692,1.984,cmc,agg,euclidean,single
3,-0.001,0.152,0.638,2.686,cmc,agg,euclidean,single
4,-0.001,0.14,0.613,2.879,cmc,agg,euclidean,single
5,-0.001,0.139,0.591,3.104,cmc,agg,euclidean,single
6,-0.002,0.102,0.626,2.824,cmc,agg,euclidean,single
7,-0.002,0.058,0.658,2.603,cmc,agg,euclidean,single
8,-0.002,0.058,0.679,3.098,cmc,agg,euclidean,single
9,-0.003,-0.052,0.73,2.836,cmc,agg,euclidean,single
2,0.003,0.161,2.147,282.307,cmc,agg,cosine,complete
3,0.004,0.103,2.338,217.888,cmc,agg,cosine,complete
4,0.006,0.072,2.338,176.048,cmc,agg,cosine,complete
5,0.009,0.066,2.615,151.596,cmc,agg,cosine,complete
6,0.014,0.065,2.613,152.797,cmc,agg,cosine,complete
7,0.019,0.029,2.595,135.536,cmc,agg,cosine,complete
8,0.019,0.037,2.456,125.161,cmc,agg,cosine,complete
9,0.021,0.036,2.506,116.028,cmc,agg,cosine,complete
2,0.014,0.164,2.012,347.615,cmc,agg,cosine,average
3,0.014,0.083,1.738,175.09,cmc,agg,cosine,average
4,0.011,0.085,1.804,131.82,cmc,agg,cosine,average
5,0.026,0.091,1.817,147.438,cmc,agg,cosine,average
6,0.023,0.075,1.955,124.27,cmc,agg,cosine,average
7,0.021,0.076,2.003,113.596,cmc,agg,cosine,average
8,0.02,0.065,1.972,98.537,cmc,agg,cosine,average
9,0.016,0.074,2.005,108.272,cmc,agg,cosine,average
2,-0.0,0.192,0.692,1.984,cmc,agg,cosine,single
3,-0.0,0.048,0.834,1.573,cmc,agg,cosine,single
4,-0.001,0.025,0.813,1.612,cmc,agg,cosine,single
5,-0.001,-0.029,0.861,1.456,cmc,agg,cosine,single
6,-0.001,-0.04,0.874,1.381,cmc,agg,cosine,single
7,-0.001,-0.062,0.869,1.376,cmc,agg,cosine,single
8,-0.001,-0.076,0.886,1.317,cmc,agg,cosine,single
9,-0.001,-0.08,0.881,1.318,cmc,agg,cosine,single
