Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.187,0.938,0.509,5702.889,hyp,agg,euclidean,ward
3,0.187,0.923,0.278,10369.815,hyp,agg,euclidean,ward
4,0.464,0.752,0.443,10966.754,hyp,agg,euclidean,ward
5,0.464,0.752,0.448,10508.73,hyp,agg,euclidean,ward
6,0.586,0.267,0.814,9422.158,hyp,agg,euclidean,ward
7,0.298,0.236,1.016,8690.215,hyp,agg,euclidean,ward
8,0.299,0.236,1.008,8118.145,hyp,agg,euclidean,ward
9,0.299,0.236,0.975,7669.386,hyp,agg,euclidean,ward
10,0.29,0.226,0.944,7303.671,hyp,agg,euclidean,ward
11,0.29,0.226,0.955,6927.7,hyp,agg,euclidean,ward
12,0.135,0.098,1.171,6625.219,hyp,agg,euclidean,ward
13,0.142,0.099,1.23,6353.198,hyp,agg,euclidean,ward
14,0.067,0.101,1.379,6116.49,hyp,agg,euclidean,ward
15,0.067,0.101,1.35,5905.359,hyp,agg,euclidean,ward
16,0.055,0.105,1.317,5722.383,hyp,agg,euclidean,ward
17,0.055,0.105,1.237,5553.818,hyp,agg,euclidean,ward
18,0.055,0.108,1.223,5417.38,hyp,agg,euclidean,ward
19,0.042,0.115,1.244,5286.687,hyp,agg,euclidean,ward
2,0.036,0.972,0.083,4756.604,hyp,agg,euclidean,complete
3,0.187,0.923,0.278,10369.815,hyp,agg,euclidean,complete
4,0.187,0.912,0.426,7796.948,hyp,agg,euclidean,complete
5,0.187,0.911,0.433,5958.452,hyp,agg,euclidean,complete
6,0.187,0.891,0.41,5192.599,hyp,agg,euclidean,complete
7,0.375,0.793,0.451,6813.432,hyp,agg,euclidean,complete
8,0.375,0.793,0.387,5951.721,hyp,agg,euclidean,complete
9,0.375,0.793,0.339,5302.5,hyp,agg,euclidean,complete
10,0.357,0.62,0.393,4904.419,hyp,agg,euclidean,complete
11,0.357,0.619,0.447,4469.143,hyp,agg,euclidean,complete
12,0.357,0.612,0.495,4174.223,hyp,agg,euclidean,complete
13,0.66,0.514,0.548,5144.949,hyp,agg,euclidean,complete
14,0.66,0.513,0.499,4779.404,hyp,agg,euclidean,complete
15,0.626,0.398,0.575,4572.451,hyp,agg,euclidean,complete
16,0.627,0.395,0.609,4332.088,hyp,agg,euclidean,complete
17,0.627,0.395,0.614,4095.536,hyp,agg,euclidean,complete
18,0.327,0.178,0.777,4166.393,hyp,agg,euclidean,complete
19,0.327,0.177,0.774,3960.378,hyp,agg,euclidean,complete
2,0.036,0.972,0.083,4756.604,hyp,agg,euclidean,average
3,0.117,0.933,0.175,7490.728,hyp,agg,euclidean,average
4,0.117,0.932,0.249,5063.474,hyp,agg,euclidean,average
5,0.263,0.87,0.387,7387.886,hyp,agg,euclidean,average
6,0.263,0.87,0.354,6150.619,hyp,agg,euclidean,average
7,0.263,0.87,0.295,5202.757,hyp,agg,euclidean,average
8,0.263,0.842,0.316,4744.201,hyp,agg,euclidean,average
9,0.263,0.843,0.333,4231.011,hyp,agg,euclidean,average
10,0.263,0.842,0.286,3774.838,hyp,agg,euclidean,average
11,0.258,0.701,0.325,3453.894,hyp,agg,euclidean,average
12,0.493,0.686,0.361,4953.703,hyp,agg,euclidean,average
13,0.493,0.684,0.389,4618.947,hyp,agg,euclidean,average
14,0.493,0.683,0.385,4275.322,hyp,agg,euclidean,average
15,0.491,0.599,0.404,3990.49,hyp,agg,euclidean,average
16,0.492,0.591,0.457,3915.79,hyp,agg,euclidean,average
17,0.492,0.591,0.441,3676.571,hyp,agg,euclidean,average
18,0.492,0.591,0.423,3465.616,hyp,agg,euclidean,average
19,0.49,0.504,0.435,3283.751,hyp,agg,euclidean,average
2,0.036,0.972,0.083,4756.604,hyp,agg,euclidean,single
3,0.036,0.971,0.242,2399.544,hyp,agg,euclidean,single
