Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.531,0.561,0.651,233.648,iris,fuzzy,None,None
3,0.677,0.455,0.844,234.748,iris,fuzzy,None,None
4,0.532,0.384,0.87,200.666,iris,fuzzy,None,None
5,0.444,0.323,1.013,193.251,iris,fuzzy,None,None
6,0.583,0.365,1.175,141.114,iris,fuzzy,None,None
7,0.535,0.306,1.299,129.976,iris,fuzzy,None,None
8,0.567,0.333,1.313,122.433,iris,fuzzy,None,None
9,0.421,0.303,1.154,151.403,iris,fuzzy,None,None
2,0.568,0.58,0.598,248.903,iris,ms,None,None
2,0.544,0.575,0.596,237.826,iris,agg,euclidean,ward
3,0.615,0.446,0.806,220.26,iris,agg,euclidean,ward
4,0.588,0.399,0.981,198.73,iris,agg,euclidean,ward
5,0.47,0.355,0.947,194.962,iris,agg,euclidean,ward
6,0.451,0.337,0.967,174.392,iris,agg,euclidean,ward
7,0.413,0.339,0.951,164.154,iris,agg,euclidean,ward
8,0.401,0.34,0.874,158.122,iris,agg,euclidean,ward
9,0.402,0.345,0.929,157.362,iris,agg,euclidean,ward
2,0.568,0.58,0.598,248.903,iris,agg,euclidean,single
3,0.558,0.503,0.496,130.191,iris,agg,euclidean,single
4,0.552,0.406,0.505,103.262,iris,agg,euclidean,single
5,0.552,0.341,0.468,77.343,iris,agg,euclidean,single
6,0.55,0.201,0.499,63.02,iris,agg,euclidean,single
7,0.547,0.204,0.478,55.317,iris,agg,euclidean,single
8,0.539,0.228,0.472,53.41,iris,agg,euclidean,single
9,0.537,0.128,0.566,46.902,iris,agg,euclidean,single
2,0.41,0.44,0.893,151.282,iris,agg,euclidean,complete
3,0.573,0.449,0.76,210.908,iris,agg,euclidean,complete
4,0.533,0.41,0.879,181.841,iris,agg,euclidean,complete
5,0.463,0.354,0.856,165.785,iris,agg,euclidean,complete
6,0.45,0.312,0.88,143.44,iris,agg,euclidean,complete
7,0.444,0.309,0.792,131.355,iris,agg,euclidean,complete
8,0.472,0.332,0.876,148.214,iris,agg,euclidean,complete
9,0.502,0.344,0.909,149.363,iris,agg,euclidean,complete
2,0.568,0.58,0.598,248.903,iris,agg,euclidean,average
3,0.562,0.479,0.578,147.637,iris,agg,euclidean,average
4,0.552,0.406,0.505,103.262,iris,agg,euclidean,average
5,0.551,0.374,0.624,126.177,iris,agg,euclidean,average
6,0.51,0.326,0.624,115.797,iris,agg,euclidean,average
7,0.554,0.33,0.762,138.74,iris,agg,euclidean,average
8,0.51,0.33,0.754,134.895,iris,agg,euclidean,average
9,0.501,0.321,0.749,125.007,iris,agg,euclidean,average
2,0.568,0.58,0.598,248.903,iris,agg,cosine,complete
3,0.55,0.423,0.931,204.772,iris,agg,cosine,complete
4,0.53,0.358,1.086,172.865,iris,agg,cosine,complete
5,0.518,0.334,1.284,140.168,iris,agg,cosine,complete
6,0.39,0.256,1.241,139.712,iris,agg,cosine,complete
7,0.4,0.213,1.202,122.055,iris,agg,cosine,complete
8,0.384,0.193,1.254,109.64,iris,agg,cosine,complete
9,0.379,0.192,1.352,103.369,iris,agg,cosine,complete
2,0.544,0.575,0.596,237.826,iris,agg,cosine,average
3,0.61,0.429,0.81,209.032,iris,agg,cosine,average
4,0.592,0.257,0.792,144.196,iris,agg,cosine,average
5,0.532,0.286,0.986,138.315,iris,agg,cosine,average
6,0.518,0.281,1.212,122.482,iris,agg,cosine,average
7,0.521,0.271,1.292,105.42,iris,agg,cosine,average
8,0.506,0.268,1.38,93.153,iris,agg,cosine,average
9,0.377,0.244,1.312,109.27,iris,agg,cosine,average
2,0.0,-0.285,5.648,0.027,iris,agg,cosine,single
3,0.541,0.094,0.98,118.993,iris,agg,cosine,single
4,0.556,0.082,0.785,86.902,iris,agg,cosine,single
5,0.554,0.025,0.806,65.528,iris,agg,cosine,single
6,0.549,0.031,0.906,53.369,iris,agg,cosine,single
7,0.542,0.031,0.911,46.398,iris,agg,cosine,single
8,0.593,0.14,0.907,64.659,iris,agg,cosine,single
9,0.585,0.124,0.869,57.048,iris,agg,cosine,single
