Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.599,0.375,1.124,317.999,vote,km,None,None
3,0.544,0.288,1.717,195.477,vote,km,None,None
4,0.448,0.256,1.868,149.397,vote,km,None,None
5,0.392,0.236,1.889,124.242,vote,km,None,None
6,0.309,0.185,2.122,108.899,vote,km,None,None
2,0.599,0.375,1.124,317.999,vote,bkm,None,None
3,0.456,0.262,1.933,185.47,vote,bkm,None,None
4,0.421,0.229,2.185,137.753,vote,bkm,None,None
5,0.265,0.191,2.252,115.881,vote,bkm,None,None
6,0.33,0.188,2.151,104.495,vote,bkm,None,None
2,0.55,0.372,1.126,312.905,vote,kmed,None,None
3,0.367,0.261,1.983,191.961,vote,kmed,None,None
4,0.321,0.229,2.045,139.478,vote,kmed,None,None
5,0.344,0.107,2.349,102.803,vote,kmed,None,None
6,0.242,0.206,2.07,96.248,vote,kmed,None,None
2,0.592,0.375,1.121,318.13,vote,ms,None,None
2,0.51,0.366,1.15,305.663,vote,agg,euclidean,ward
3,0.528,0.266,2.096,183.965,vote,agg,euclidean,ward
4,0.357,0.191,2.32,142.034,vote,agg,euclidean,ward
5,0.372,0.202,2.134,119.385,vote,agg,euclidean,ward
6,0.276,0.17,2.186,103.979,vote,agg,euclidean,ward
2,0.503,0.365,1.152,303.956,vote,agg,euclidean,complete
3,0.547,0.278,1.998,188.811,vote,agg,euclidean,complete
4,0.559,0.269,1.857,139.721,vote,agg,euclidean,complete
5,0.401,0.169,2.377,112.438,vote,agg,euclidean,complete
6,0.404,0.169,2.304,92.509,vote,agg,euclidean,complete
2,0.53,0.368,1.147,307.746,vote,agg,euclidean,average
3,0.532,0.281,0.967,155.714,vote,agg,euclidean,average
4,0.61,0.266,1.388,123.531,vote,agg,euclidean,average
5,0.581,0.25,1.466,99.278,vote,agg,euclidean,average
6,0.573,0.216,1.444,80.509,vote,agg,euclidean,average
2,-0.002,0.057,0.941,1.121,vote,agg,euclidean,single
3,-0.003,0.02,0.929,1.166,vote,agg,euclidean,single
4,-0.005,-0.054,0.982,1.083,vote,agg,euclidean,single
5,-0.007,-0.109,0.989,1.053,vote,agg,euclidean,single
6,-0.008,-0.123,0.996,1.029,vote,agg,euclidean,single
2,0.544,0.367,1.15,306.03,vote,agg,cosine,complete
3,0.605,0.274,1.941,175.194,vote,agg,cosine,complete
4,0.579,0.256,1.901,126.867,vote,agg,cosine,complete
5,0.408,0.165,2.366,104.88,vote,agg,cosine,complete
6,0.407,0.141,2.268,89.006,vote,agg,cosine,complete
2,0.51,0.368,1.147,307.428,vote,agg,cosine,average
3,0.512,0.281,0.97,155.544,vote,agg,cosine,average
4,0.609,0.27,1.488,125.241,vote,agg,cosine,average
5,0.605,0.207,1.328,94.631,vote,agg,cosine,average
6,0.602,0.196,1.37,77.731,vote,agg,cosine,average
2,-0.002,0.057,0.941,1.121,vote,agg,cosine,single
3,-0.003,0.02,0.929,1.166,vote,agg,cosine,single
4,-0.005,-0.023,0.973,1.093,vote,agg,cosine,single
5,-0.007,-0.062,0.99,1.049,vote,agg,cosine,single
6,-0.004,-0.102,0.972,1.095,vote,agg,cosine,single
2,0.599,0.375,1.122,318.128,vote,fuzzy,None,None
3,0.529,0.264,1.941,179.721,vote,fuzzy,None,None
4,0.502,0.233,2.221,131.632,vote,fuzzy,None,None
5,0.507,0.209,3.162,100.011,vote,fuzzy,None,None
6,0.517,0.188,2.708,80.811,vote,fuzzy,None,None
